"id_origem_dados_pontos","lon","lat","rumo","veloc","irin","mmsi","dh","imo","fonte","id_origem_dados","nome_navio"
"1569404198","-26.8404917","-35.2224383","273","13.8","3EUV2","355026000","2019-10-23 06:02:07-03","9633032","AIS-S","29","GLOBAL ANDES"
"1569403898","-46.3261717","-24.1443217","237","0.1","3EZB","371888000","2019-10-23 11:38:08-03","9512941","AIS-S","29","GLOBAL BONANZA"
"1569392856","-46.2886667","-23.9716167","337","0","9HFK9","256911000","2019-10-23 11:36:43-03","9241255","AIS-S","29","GLOBETROTTER"
"1569433862","-57.526775","-38.0353083","339.8","0","LW2885","701000867","2019-10-23 03:36:43-03","7410292","AIS-S","29","GLORIA DEL MAR 1"
"1569493261","-38.4169867","-21.1062733","86","11.7","V7YB7","538008083","2019-10-23 09:39:19-03","9646429","AIS-S","29","GLORIEUSE"
"1569404180","-57.8433433","-34.7270933","239","13.9","C6VT9","309108000","2019-10-23 00:36:11-03","9357298","AIS-S","29","GLORIOUS LEADER"
"1569443834","-53.6586667","-1.9158333","213","0","3EON3","357123000","2019-10-23 06:33:26-03","9341794","AIS-S","29","GLORY TELLUS"
"1569505366","-39.9559367","-21.2360083","60","0","PP0001","710023860","2019-10-23 10:35:32-03","9667590","AIS-S","29","GNL 1008"
"1569441607","-38.5608733","-12.9595433","136","17","V7DE2","538005374","2019-10-23 11:31:50-03","9654701","AIS-S","29","GOLAR KELVIN"
"1569413622","-36.1833217","-17.4425883","189","11.9","V7AE9","538004980","2019-10-23 05:59:32-03","9624914","AIS-S","29","GOLAR SEAL"
"1569437132","-38.7980633","-3.5313683","139","0","V7RE2","538003487","2019-10-23 11:42:20-03","9256614","AIS-S","29","GOLAR WINTER"
"1569404560","-25.635425","-24.1441833","284","12.5","V7A2525","538008571","2019-10-23 10:22:03-03","9842724","AIS-S","29","GOLDEN CHAMPION"
"1569419062","-37.0283967","-3.6511767","306","13","V7SZ9","538003760","2019-10-23 06:06:01-03","9552159","AIS-S","29","GOLDEN CROWN"
"1569398810","-37.8543467","-13.5611783","303","11.1","V7YI8","538004669","2019-10-23 11:42:14-03","9590759","AIS-S","29","GOLDEN DAISY"
"1569521857","-60.17815","-33.34927","306","0","V7PK5","538003248","2019-10-22 23:31:18-03","9244855","AIS-S","29","GOLDENEYE"
"1569430405","-49.2122283","-31.0921067","174","0","5BZD3","210764000","2019-10-23 09:32:07-03","9637131","AIS-S","29","GOLDENEYE"
"1569451899","-43.17364","-23.3990967","275","10.1","VROT4","477524500","2019-10-23 02:00:35-03","9702479","AIS-S","29","GOLDEN SCAPE"
"1569403663","-41.5895","2.0655","128","13.4","9HA2669","215193000","2019-10-23 10:37:49-03","9506693","AIS-S","29","GOLD POINT"
"1569411824","-43.144515","-22.899665","348","0.1","3ELK6","372971000","2019-10-23 11:38:50-03","8770041","AIS-S","29","GOLD STAR"
"1569478659","-32.42346","-6.8016067","118","9.9","5BLG4","210246000","2019-10-23 04:15:14-03","9735153","AIS-S","29","GOLIATH"
"1569561265","-58.5953083","-34.4043683","202.3","0","LW5155","701000560","2019-10-23 07:32:14-03","7005944","AIS-S","29","GOLONDRINA DE MAR"
"1569404290","-20.1693417","-34.4297217","268","13.7","A8ZS5","636015288","2019-10-23 11:34:24-03","9502623","AIS-S","29","GOOD WISH"
"1569434191","-55.5743567","-35.1902817","50.3","0.2","A8ZP8","636092263","2019-10-23 09:37:04-03","9480136","AIS-S","29","GOTLAND"
"1569404902","-39.6775483","-23.2080333","196","12.4","C6YU4","311045400","2019-10-23 06:43:05-03","9375604","AIS-S","29","GOTLAND ALIYA"
