achare,1
bcnisd,2
bcnlat,4
bcnspp,8
boyinb,1
boyspp,4
cblsub,16
lights,18
obstrn,64
ofsplf,50
ospare,1
pipsol,18
resare,4
sbdare,100
slcons,40
uwtroc,100
