"idarquivocampo";"classe";"arquivo";"campode";"campopara"
1512;140;"REL_Rocha_L.shp";"GEOMETRIAA";"geometriaAproximada"
1513;140;"REL_Rocha_L.shp";"TIPOELEMNA";"tipoElemNat"
1514;140;"REL_Rocha_L.shp";"NOMEABREV";"nomeAbrev"
1515;140;"REL_Rocha_L.shp";"TIPOROCHA";"tipoRocha"
1516;140;"REL_Rocha_A.shp";"NOME";"nome"
1517;140;"REL_Rocha_A.shp";"GEOMETRIAA";"geometriaAproximada"
1518;140;"REL_Rocha_A.shp";"TIPOELEMNA";"tipoElemNat"
1519;140;"REL_Rocha_A.shp";"NOMEABREV";"nomeAbrev"
1520;140;"REL_Rocha_A.shp";"TIPOROCHA";"tipoRocha"
1623;149;"REL_Terreno_Exposto_A.shp";"GEOMETRIAA";"geometriaAproximada"
1624;149;"REL_Terreno_Exposto_A.shp";"TIPOTERREX";"tipoTerrExp"
1625;149;"REL_Terreno_Exposto_A.shp";"CAUSAEXPOS";"causaExposicao"
1;1;"REL_Alteracao_Fisiografica_Antropica_L.shp";"NOME";"nome"
2;1;"REL_Alteracao_Fisiografica_Antropica_L.shp";"GEOMETRIAA";"geometriaAproximada"
3;1;"REL_Alteracao_Fisiografica_Antropica_L.shp";"TIPOALTERA";"tipoAlterAntrop"
4;1;"REL_Alteracao_Fisiografica_Antropica_L.shp";"NOMEABREV";"nomeAbrev"
5;1;"REL_Alteracao_Fisiografica_Antropica_A.shp";"NOME";"nome"
6;1;"REL_Alteracao_Fisiografica_Antropica_A.shp";"GEOMETRIAA";"geometriaAproximada"
7;1;"REL_Alteracao_Fisiografica_Antropica_A.shp";"TIPOALTERA";"tipoAlterAntrop"
8;1;"REL_Alteracao_Fisiografica_Antropica_A.shp";"NOMEABREV";"nomeAbrev"
1852;176;"VEG_Veg_Area_Contato_A.shp";"NOME";"nome"
1853;176;"VEG_Veg_Area_Contato_A.shp";"GEOMETRIAA";"geometriaAproximada"
1854;176;"VEG_Veg_Area_Contato_A.shp";"CLASSIFICA";"classificacaoPorte"
1855;176;"VEG_Veg_Area_Contato_A.shp";"DENSO";"denso"
1856;176;"VEG_Veg_Area_Contato_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
1857;176;"VEG_Veg_Area_Contato_A.shp";"ANTROPIZAD";"antropizada"
1858;176;"VEG_Veg_Area_Contato_A.shp";"NOMEABREV";"nomeAbrev"
1859;169;"VEG_Veg_Cultivada_A.shp";"NOME";"nome"
1860;169;"VEG_Veg_Cultivada_A.shp";"GEOMETRIAA";"geometriaAproximada"
1861;169;"VEG_Veg_Cultivada_A.shp";"TIPOLAVOUR";"tipoLavoura"
1862;169;"VEG_Veg_Cultivada_A.shp";"FINALIDADE";"finalidade"
1863;169;"VEG_Veg_Cultivada_A.shp";"TERRENO";"terreno"
1864;169;"VEG_Veg_Cultivada_A.shp";"CLASSIFICA";"classificacaoPorte"
1865;169;"VEG_Veg_Cultivada_A.shp";"ESPACAMENT";"espacamentoIndividuos"
1866;169;"VEG_Veg_Cultivada_A.shp";"ESPESSURAD";"espessuraDAP"
1867;169;"VEG_Veg_Cultivada_A.shp";"DENSO";"denso"
1868;169;"VEG_Veg_Cultivada_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
1869;169;"VEG_Veg_Cultivada_A.shp";"CULTIVOPRE";"cultivoPredominante"
1870;169;"VEG_Veg_Cultivada_A.shp";"NOMEABREV";"nomeAbrev"
1103;177;"VEG_Mangue_A.shp";"NOME";"nome"
1104;177;"VEG_Mangue_A.shp";"GEOMETRIAA";"geometriaAproximada"
1105;177;"VEG_Mangue_A.shp";"CLASSIFICA";"classificacaoPorte"
1106;177;"VEG_Mangue_A.shp";"DENSO";"denso"
1107;177;"VEG_Mangue_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
1108;177;"VEG_Mangue_A.shp";"ANTROPIZAD";"antropizada"
1109;177;"VEG_Mangue_A.shp";"NOMEABREV";"nomeAbrev"
169;178;"VEG_Brejo_Pantano_A.shp";"NOME";"nome"
170;178;"VEG_Brejo_Pantano_A.shp";"GEOMETRIAA";"geometriaAproximada"
171;178;"VEG_Brejo_Pantano_A.shp";"TIPOBREJOP";"tipoBrejoPantano"
172;178;"VEG_Brejo_Pantano_A.shp";"CLASSIFICA";"classificacaoPorte"
173;178;"VEG_Brejo_Pantano_A.shp";"DENSO";"denso"
174;178;"VEG_Brejo_Pantano_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
175;178;"VEG_Brejo_Pantano_A.shp";"ANTROPIZAD";"antropizada"
176;178;"VEG_Brejo_Pantano_A.shp";"NOMEABREV";"nomeAbrev"
1871;179;"VEG_Veg_Restinga_A.shp";"NOME";"nome"
1872;179;"VEG_Veg_Restinga_A.shp";"GEOMETRIAA";"geometriaAproximada"
1873;179;"VEG_Veg_Restinga_A.shp";"CLASSIFICA";"classificacaoPorte"
1874;179;"VEG_Veg_Restinga_A.shp";"DENSO";"denso"
1875;179;"VEG_Veg_Restinga_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
228;183;"VEG_Cerrado_Cerradao_A.shp";"CLASSIFICA";"classificacaoPorte"
229;183;"VEG_Cerrado_Cerradao_A.shp";"DENSO";"denso"
230;183;"VEG_Cerrado_Cerradao_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
231;183;"VEG_Cerrado_Cerradao_A.shp";"ANTROPIZAD";"antropizada"
232;183;"VEG_Cerrado_Cerradao_A.shp";"NOMEABREV";"nomeAbrev"
177;184;"VEG_Caatinga_A.shp";"NOME";"nome"
178;184;"VEG_Caatinga_A.shp";"GEOMETRIAA";"geometriaAproximada"
179;184;"VEG_Caatinga_A.shp";"CLASSIFICA";"classificacaoPorte"
180;184;"VEG_Caatinga_A.shp";"DENSO";"denso"
181;184;"VEG_Caatinga_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
182;184;"VEG_Caatinga_A.shp";"ANTROPIZAD";"antropizada"
183;184;"VEG_Caatinga_A.shp";"NOMEABREV";"nomeAbrev"
849;185;"VEG_Estepe_A.shp";"NOME";"nome"
850;185;"VEG_Estepe_A.shp";"GEOMETRIAA";"geometriaAproximada"
851;185;"VEG_Estepe_A.shp";"DENSO";"denso"
852;185;"VEG_Estepe_A.shp";"ALTURAMEDI";"alturaMediaIndividuos"
853;185;"VEG_Estepe_A.shp";"ANTROPIZAD";"antropizada"
854;185;"VEG_Estepe_A.shp";"NOMEABREV";"nomeAbrev"
198;37;"VEG_Campo_A.shp";"NOME";"nome"
199;37;"VEG_Campo_A.shp";"GEOMETRIAA";"geometriaAproximada"
200;37;"VEG_Campo_A.shp";"TIPOCAMPO";"tipoCampo"
201;37;"VEG_Campo_A.shp";"OCORRENCIA";"ocorrenciaEm"
202;37;"VEG_Campo_A.shp";"NOMEABREV";"nomeAbrev"
1748;162;"TRA_Trecho_Rodoviario_L.shp";"GEOMETRIAA";"geometriaAproximada"
1749;162;"TRA_Trecho_Rodoviario_L.shp";"CODTRECHOR";"codTrechoRodov"
1750;162;"TRA_Trecho_Rodoviario_L.shp";"TIPOTRECHO";"tipoTrechoRod"
1751;162;"TRA_Trecho_Rodoviario_L.shp";"JURISDICAO";"jurisdicao"
1752;162;"TRA_Trecho_Rodoviario_L.shp";"ADMINISTRA";"administracao"
1753;162;"TRA_Trecho_Rodoviario_L.shp";"CONCESSION";"concessionaria"
1754;162;"TRA_Trecho_Rodoviario_L.shp";"REVESTIMEN";"revestimento"
1755;162;"TRA_Trecho_Rodoviario_L.shp";"OPERACIONA";"operacional"
1756;162;"TRA_Trecho_Rodoviario_L.shp";"SITUACAOFI";"situacaoFisica"
1757;162;"TRA_Trecho_Rodoviario_L.shp";"NRPISTAS";"nrPistas"
1758;162;"TRA_Trecho_Rodoviario_L.shp";"NRFAIXAS";"nrFaixas"
1759;162;"TRA_Trecho_Rodoviario_L.shp";"TRAFEGO";"trafego"
1760;162;"TRA_Trecho_Rodoviario_L.shp";"CANTEIRODI";"canteiroDivisorio"
1761;162;"TRA_Trecho_Rodoviario_L.shp";"CAPACCARGA";"capacCarga"
1021;97;"TRA_Identificador_Trecho_Rodoviario_P.shp";"NOME";"nome"
1022;97;"TRA_Identificador_Trecho_Rodoviario_P.shp";"SIGLA";"sigla"
1023;97;"TRA_Identificador_Trecho_Rodoviario_P.shp";"NOMEABREV";"nomeAbrev"
1648;153;"TRA_Travessia_P.shp";"GEOMETRIAA";"geometriaAproximada"
1649;153;"TRA_Travessia_P.shp";"TIPOTRAVES";"tipoTravessia"
1650;153;"TRA_Travessia_P.shp";"NOMEABREV";"nomeAbrev"
1651;153;"TRA_Travessia_L.shp";"NOME";"nome"
1652;153;"TRA_Travessia_L.shp";"GEOMETRIAA";"geometriaAproximada"
1653;153;"TRA_Travessia_L.shp";"TIPOTRAVES";"tipoTravessia"
1654;153;"TRA_Travessia_L.shp";"NOMEABREV";"nomeAbrev"
1765;164;"TRA_Tunel_P.shp";"NOME";"nome"
1766;164;"TRA_Tunel_P.shp";"GEOMETRIAA";"geometriaAproximada"
1767;164;"TRA_Tunel_P.shp";"TIPOTUNEL";"tipoTunel"
1768;164;"TRA_Tunel_P.shp";"MODALUSO";"modalUso"
1769;164;"TRA_Tunel_P.shp";"MATCONSTR";"matConstr"
1770;164;"TRA_Tunel_P.shp";"OPERACIONA";"operacional"
1771;164;"TRA_Tunel_P.shp";"SITUACAOFI";"situacaoFisica"
1773;164;"TRA_Tunel_P.shp";"NRPISTAS";"nrPistas"
1774;164;"TRA_Tunel_P.shp";"NRFAIXAS";"nrFaixas"
1775;164;"TRA_Tunel_P.shp";"POSICAOPIS";"posicaoPista"
1776;164;"TRA_Tunel_P.shp";"ALTURA";"altura"
1777;164;"TRA_Tunel_P.shp";"EXTENSAO";"extensao"
1778;164;"TRA_Tunel_P.shp";"NOMEABREV";"nomeAbrev"
1779;164;"TRA_Tunel_L.shp";"NOME";"nome"
1780;164;"TRA_Tunel_L.shp";"GEOMETRIAA";"geometriaAproximada"
1781;164;"TRA_Tunel_L.shp";"TIPOTUNEL";"tipoTunel"
1782;164;"TRA_Tunel_L.shp";"MODALUSO";"modalUso"
1783;164;"TRA_Tunel_L.shp";"MATCONSTR";"matConstr"
1784;164;"TRA_Tunel_L.shp";"OPERACIONA";"operacional"
1785;164;"TRA_Tunel_L.shp";"SITUACAOFI";"situacaoFisica"
1786;164;"TRA_Tunel_L.shp";"LARGURA";"largura"
1787;164;"TRA_Tunel_L.shp";"NRPISTAS";"nrPistas"
1788;164;"TRA_Tunel_L.shp";"NRFAIXAS";"nrFaixas"
1789;164;"TRA_Tunel_L.shp";"POSICAOPIS";"posicaoPista"
1790;164;"TRA_Tunel_L.shp";"ALTURA";"altura"
1791;164;"TRA_Tunel_L.shp";"EXTENSAO";"extensao"
1792;164;"TRA_Tunel_L.shp";"NOMEABREV";"nomeAbrev"
931;92;"TRA_Galeria_Bueiro_P.shp";"NOME";"nome"
932;92;"TRA_Galeria_Bueiro_P.shp";"GEOMETRIAA";"geometriaAproximada"
933;92;"TRA_Galeria_Bueiro_P.shp";"MATCONSTR";"matConstr"
934;92;"TRA_Galeria_Bueiro_P.shp";"PESOSUPORT";"pesoSuportMaximo"
935;92;"TRA_Galeria_Bueiro_P.shp";"OPERACIONA";"operacional"
936;92;"TRA_Galeria_Bueiro_P.shp";"SITUACAOFI";"situacaoFisica"
937;92;"TRA_Galeria_Bueiro_P.shp";"NOMEABREV";"nomeAbrev"
938;92;"TRA_Galeria_Bueiro_L.shp";"NOME";"nome"
939;92;"TRA_Galeria_Bueiro_L.shp";"GEOMETRIAA";"geometriaAproximada"
940;92;"TRA_Galeria_Bueiro_L.shp";"MATCONSTR";"matConstr"
941;92;"TRA_Galeria_Bueiro_L.shp";"PESOSUPORT";"pesoSuportMaximo"
942;92;"TRA_Galeria_Bueiro_L.shp";"OPERACIONA";"operacional"
943;92;"TRA_Galeria_Bueiro_L.shp";"SITUACAOFI";"situacaoFisica"
944;92;"TRA_Galeria_Bueiro_L.shp";"NOMEABREV";"nomeAbrev"
794;81;"TRA_Entroncamento_P.shp";"NOME";"nome"
795;81;"TRA_Entroncamento_P.shp";"GEOMETRIAA";"geometriaAproximada"
796;81;"TRA_Entroncamento_P.shp";"TIPOENTRON";"tipoEntroncamento"
797;81;"TRA_Entroncamento_P.shp";"NOMEABREV";"nomeAbrev"
1310;123;"TRA_Ponte_P.shp";"NOME";"nome"
1311;123;"TRA_Ponte_P.shp";"GEOMETRIAA";"geometriaAproximada"
1312;123;"TRA_Ponte_P.shp";"TIPOPONTE";"tipoPonte"
1313;123;"TRA_Ponte_P.shp";"MODALUSO";"modalUso"
1314;123;"TRA_Ponte_P.shp";"MATCONSTR";"matConstr"
1315;123;"TRA_Ponte_P.shp";"OPERACIONA";"operacional"
1316;123;"TRA_Ponte_P.shp";"SITUACAOFI";"situacaoFisica"
1317;123;"TRA_Ponte_P.shp";"VAOLIVREHO";"vaoLivreHoriz"
1318;123;"TRA_Ponte_P.shp";"VAOVERTICA";"vaoVertical"
1319;123;"TRA_Ponte_P.shp";"CARGASUPOR";"cargaSuportMaxima"
1320;123;"TRA_Ponte_P.shp";"NRPISTAS";"nrPistas"
1321;123;"TRA_Ponte_P.shp";"NRFAIXAS";"nrFaixas"
1322;123;"TRA_Ponte_P.shp";"POSICAOPIS";"posicaoPista"
1323;123;"TRA_Ponte_P.shp";"LARGURA";"largura"
1324;123;"TRA_Ponte_P.shp";"EXTENSAO";"extensao"
1325;123;"TRA_Ponte_P.shp";"NOMEABREV";"nomeAbrev"
1326;123;"TRA_Ponte_L.shp";"NOME";"nome"
1327;123;"TRA_Ponte_L.shp";"GEOMETRIAA";"geometriaAproximada"
1328;123;"TRA_Ponte_L.shp";"TIPOPONTE";"tipoPonte"
1329;123;"TRA_Ponte_L.shp";"MODALUSO";"modalUso"
1330;123;"TRA_Ponte_L.shp";"MATCONSTR";"matConstr"
1331;123;"TRA_Ponte_L.shp";"OPERACIONA";"operacional"
1332;123;"TRA_Ponte_L.shp";"SITUACAOFI";"situacaoFisica"
1333;123;"TRA_Ponte_L.shp";"VAOLIVREHO";"vaoLivreHoriz"
1334;123;"TRA_Ponte_L.shp";"VAOVERTICA";"vaoVertical"
1335;123;"TRA_Ponte_L.shp";"CARGASUPOR";"cargaSuportMaxima"
1336;123;"TRA_Ponte_L.shp";"NRPISTAS";"nrPistas"
1337;123;"TRA_Ponte_L.shp";"NRFAIXAS";"nrFaixas"
1338;123;"TRA_Ponte_L.shp";"POSICAOPIS";"posicaoPista"
1339;123;"TRA_Ponte_L.shp";"LARGURA";"largura"
1340;123;"TRA_Ponte_L.shp";"EXTENSAO";"extensao"
1341;123;"TRA_Ponte_L.shp";"NOMEABREV";"nomeAbrev"
1196;116;"TRA_Passag_Elevada_Viaduto_P.shp";"NOME";"nome"
1197;116;"TRA_Passag_Elevada_Viaduto_P.shp";"GEOMETRIAA";"geometriaAproximada"
1198;116;"TRA_Passag_Elevada_Viaduto_P.shp";"TIPOPASSAG";"tipoPassagViad"
1199;116;"TRA_Passag_Elevada_Viaduto_P.shp";"MODALUSO";"modalUso"
1200;116;"TRA_Passag_Elevada_Viaduto_P.shp";"MATCONSTR";"matConstr"
1201;116;"TRA_Passag_Elevada_Viaduto_P.shp";"OPERACIONA";"operacional"
1202;116;"TRA_Passag_Elevada_Viaduto_P.shp";"SITUACAOFI";"situacaoFisica"
1203;116;"TRA_Passag_Elevada_Viaduto_P.shp";"VAOLIVREHO";"vaoLivreHoriz"
1204;116;"TRA_Passag_Elevada_Viaduto_P.shp";"VAOVERTICA";"vaoVertical"
1205;116;"TRA_Passag_Elevada_Viaduto_P.shp";"GABHORIZSU";"gabHorizSup"
1206;116;"TRA_Passag_Elevada_Viaduto_P.shp";"GABVERTSUP";"gabVertSup"
1207;116;"TRA_Passag_Elevada_Viaduto_P.shp";"CARGASUPOR";"cargaSuportMaxima"
1208;116;"TRA_Passag_Elevada_Viaduto_P.shp";"NRPISTAS";"nrPistas"
1209;116;"TRA_Passag_Elevada_Viaduto_P.shp";"NRFAIXAS";"nrFaixas"
1210;116;"TRA_Passag_Elevada_Viaduto_P.shp";"POSICAOPIS";"posicaoPista"
1211;116;"TRA_Passag_Elevada_Viaduto_P.shp";"EXTENSAO";"extensao"
1212;116;"TRA_Passag_Elevada_Viaduto_P.shp";"LARGURA";"largura"
1213;116;"TRA_Passag_Elevada_Viaduto_P.shp";"NOMEABREV";"nomeAbrev"
1214;116;"TRA_Passag_Elevada_Viaduto_L.shp";"NOME";"nome"
1215;116;"TRA_Passag_Elevada_Viaduto_L.shp";"GEOMETRIAA";"geometriaAproximada"
1216;116;"TRA_Passag_Elevada_Viaduto_L.shp";"TIPOPASSAG";"tipoPassagViad"
1217;116;"TRA_Passag_Elevada_Viaduto_L.shp";"MODALUSO";"modalUso"
1218;116;"TRA_Passag_Elevada_Viaduto_L.shp";"MATCONSTR";"matConstr"
1219;116;"TRA_Passag_Elevada_Viaduto_L.shp";"OPERACIONA";"operacional"
1220;116;"TRA_Passag_Elevada_Viaduto_L.shp";"SITUACAOFI";"situacaoFisica"
1221;116;"TRA_Passag_Elevada_Viaduto_L.shp";"VAOLIVREHO";"vaoLivreHoriz"
1222;116;"TRA_Passag_Elevada_Viaduto_L.shp";"VAOVERTICA";"vaoVertical"
1223;116;"TRA_Passag_Elevada_Viaduto_L.shp";"GABHORIZSU";"gabHorizSup"
1224;116;"TRA_Passag_Elevada_Viaduto_L.shp";"GABVERTSUP";"gabVertSup"
1225;116;"TRA_Passag_Elevada_Viaduto_L.shp";"CARGASUPOR";"cargaSuportMaxima"
1226;116;"TRA_Passag_Elevada_Viaduto_L.shp";"NRPISTAS";"nrPistas"
1227;116;"TRA_Passag_Elevada_Viaduto_L.shp";"NRFAIXAS";"nrFaixas"
1228;116;"TRA_Passag_Elevada_Viaduto_L.shp";"POSICAOPIS";"posicaoPista"
1229;116;"TRA_Passag_Elevada_Viaduto_L.shp";"EXTENSAO";"extensao"
1230;116;"TRA_Passag_Elevada_Viaduto_L.shp";"LARGURA";"largura"
1231;116;"TRA_Passag_Elevada_Viaduto_L.shp";"NOMEABREV";"nomeAbrev"
40;15;"TRA_Area_Estrut_Transportes_A.shp";"GEOMETRIAA";"geometriaAproximada"
1235;117;"TRA_Patio_P.shp";"NOME";"nome"
1236;117;"TRA_Patio_P.shp";"GEOMETRIAA";"geometriaAproximada"
1237;117;"TRA_Patio_P.shp";"MODALUSO";"modalUso"
1238;117;"TRA_Patio_P.shp";"ADMINISTRA";"administracao"
1239;117;"TRA_Patio_P.shp";"OPERACIONA";"operacional"
1240;117;"TRA_Patio_P.shp";"SITUACAOFI";"situacaoFisica"
1241;117;"TRA_Patio_P.shp";"NOMEABREV";"nomeAbrev"
1242;117;"TRA_Patio_A.shp";"NOME";"nome"
1243;117;"TRA_Patio_A.shp";"GEOMETRIAA";"geometriaAproximada"
1244;117;"TRA_Patio_A.shp";"MODALUSO";"modalUso"
1245;117;"TRA_Patio_A.shp";"ADMINISTRA";"administracao"
1246;117;"TRA_Patio_A.shp";"OPERACIONA";"operacional"
1247;117;"TRA_Patio_A.shp";"SITUACAOFI";"situacaoFisica"
1248;117;"TRA_Patio_A.shp";"NOMEABREV";"nomeAbrev"
712;76;"TRA_Edif_Rodoviaria_P.shp";"NOME";"nome"
713;76;"TRA_Edif_Rodoviaria_P.shp";"GEOMETRIAA";"geometriaAproximada"
714;76;"TRA_Edif_Rodoviaria_P.shp";"OPERACIONA";"operacional"
715;76;"TRA_Edif_Rodoviaria_P.shp";"SITUACAOFI";"situacaoFisica"
716;76;"TRA_Edif_Rodoviaria_P.shp";"MATCONSTR";"matConstr"
717;76;"TRA_Edif_Rodoviaria_P.shp";"NOMEABREV";"nomeAbrev"
718;76;"TRA_Edif_Rodoviaria_P.shp";"ADMINISTRA";"administracao"
719;76;"TRA_Edif_Rodoviaria_A.shp";"NOME";"nome"
720;76;"TRA_Edif_Rodoviaria_A.shp";"GEOMETRIAA";"geometriaAproximada"
721;76;"TRA_Edif_Rodoviaria_A.shp";"OPERACIONA";"operacional"
722;76;"TRA_Edif_Rodoviaria_A.shp";"SITUACAOFI";"situacaoFisica"
723;76;"TRA_Edif_Rodoviaria_A.shp";"MATCONSTR";"matConstr"
724;76;"TRA_Edif_Rodoviaria_A.shp";"NOMEABREV";"nomeAbrev"
725;76;"TRA_Edif_Rodoviaria_A.shp";"ADMINISTRA";"administracao"
1762;163;"TRA_Trilha_Picada_L.shp";"NOME";"nome"
1763;163;"TRA_Trilha_Picada_L.shp";"GEOMETRIAA";"geometriaAproximada"
1764;163;"TRA_Trilha_Picada_L.shp";"NOMEABREV";"nomeAbrev"
233;40;"TRA_Ciclovia_L.shp";"NOME";"nome"
234;40;"TRA_Ciclovia_L.shp";"GEOMETRIAA";"geometriaAproximada"
235;40;"TRA_Ciclovia_L.shp";"ADMINISTRA";"administracao"
236;40;"TRA_Ciclovia_L.shp";"REVESTIMEN";"revestimento"
237;40;"TRA_Ciclovia_L.shp";"OPERACIONA";"operacional"
238;40;"TRA_Ciclovia_L.shp";"SITUACAOFI";"situacaoFisica"
239;40;"TRA_Ciclovia_L.shp";"TRAFEGO";"trafego"
240;40;"TRA_Ciclovia_L.shp";"NOMEABREV";"nomeAbrev"
94;30;"TRA_Arruamento_L.shp";"NOME";"nome"
95;30;"TRA_Arruamento_L.shp";"GEOMETRIAA";"geometriaAproximada"
96;30;"TRA_Arruamento_L.shp";"REVESTIMEN";"revestimento"
97;30;"TRA_Arruamento_L.shp";"OPERACIONA";"operacional"
98;30;"TRA_Arruamento_L.shp";"SITUACAOFI";"situacaoFisica"
99;30;"TRA_Arruamento_L.shp";"NRFAIXAS";"nrFaixas"
100;30;"TRA_Arruamento_L.shp";"TRAFEGO";"trafego"
101;30;"TRA_Arruamento_L.shp";"CANTEIRODI";"canteiroDivisorio"
102;30;"TRA_Arruamento_L.shp";"NOMEABREV";"nomeAbrev"
1655;154;"TRA_Travessia_Pedestre_P.shp";"NOME";"nome"
1656;154;"TRA_Travessia_Pedestre_P.shp";"GEOMETRIAA";"geometriaAproximada"
1657;154;"TRA_Travessia_Pedestre_P.shp";"TIPOTRAVES";"tipoTravessiaPed"
1658;154;"TRA_Travessia_Pedestre_P.shp";"MATCONSTR";"matConstr"
1659;154;"TRA_Travessia_Pedestre_P.shp";"OPERACIONA";"operacional"
1660;154;"TRA_Travessia_Pedestre_P.shp";"SITUACAOFI";"situacaoFisica"
1661;154;"TRA_Travessia_Pedestre_P.shp";"LARGURA";"largura"
1662;154;"TRA_Travessia_Pedestre_P.shp";"EXTENSAO";"extensao"
1663;154;"TRA_Travessia_Pedestre_P.shp";"NOMEABREV";"nomeAbrev"
1664;154;"TRA_Travessia_Pedestre_L.shp";"NOME";"nome"
1665;154;"TRA_Travessia_Pedestre_L.shp";"GEOMETRIAA";"geometriaAproximada"
1666;154;"TRA_Travessia_Pedestre_L.shp";"TIPOTRAVES";"tipoTravessiaPed"
1667;154;"TRA_Travessia_Pedestre_L.shp";"MATCONSTR";"matConstr"
1668;154;"TRA_Travessia_Pedestre_L.shp";"OPERACIONA";"operacional"
1669;154;"TRA_Travessia_Pedestre_L.shp";"SITUACAOFI";"situacaoFisica"
1670;154;"TRA_Travessia_Pedestre_L.shp";"LARGURA";"largura"
1671;154;"TRA_Travessia_Pedestre_L.shp";"EXTENSAO";"extensao"
1672;154;"TRA_Travessia_Pedestre_L.shp";"NOMEABREV";"nomeAbrev"
1717;159;"TRA_Trecho_Ferroviario_L.shp";"NOME";"nome"
1718;159;"TRA_Trecho_Ferroviario_L.shp";"GEOMETRIAA";"geometriaAproximada"
1719;159;"TRA_Trecho_Ferroviario_L.shp";"CODTRECHOF";"codTrechoFerrov"
1720;159;"TRA_Trecho_Ferroviario_L.shp";"POSICAOREL";"posicaoRelativa"
1721;159;"TRA_Trecho_Ferroviario_L.shp";"TIPOTRECHO";"tipoTrechoFerrov"
1722;159;"TRA_Trecho_Ferroviario_L.shp";"BITOLA";"bitola"
1723;159;"TRA_Trecho_Ferroviario_L.shp";"ELETRIFICA";"eletrificada"
1724;159;"TRA_Trecho_Ferroviario_L.shp";"NRLINHAS";"nrLinhas"
1725;159;"TRA_Trecho_Ferroviario_L.shp";"EMARRUAMEN";"emArruamento"
1726;159;"TRA_Trecho_Ferroviario_L.shp";"JURISDICAO";"jurisdicao"
1727;159;"TRA_Trecho_Ferroviario_L.shp";"ADMINISTRA";"administracao"
1728;159;"TRA_Trecho_Ferroviario_L.shp";"CONCESSION";"concessionaria"
1729;159;"TRA_Trecho_Ferroviario_L.shp";"OPERACIONA";"operacional"
1730;159;"TRA_Trecho_Ferroviario_L.shp";"SITUACAOFI";"situacaoFisica"
1731;159;"TRA_Trecho_Ferroviario_L.shp";"CARGASUPOR";"cargaSuportMaxima"
1732;159;"TRA_Trecho_Ferroviario_L.shp";"NOMEABREV";"nomeAbrev"
945;93;"TRA_Girador_Ferroviario_P.shp";"NOME";"nome"
946;93;"TRA_Girador_Ferroviario_P.shp";"GEOMETRIAA";"geometriaAproximada"
947;93;"TRA_Girador_Ferroviario_P.shp";"ADMINISTRA";"administracao"
948;93;"TRA_Girador_Ferroviario_P.shp";"OPERACIONA";"operacional"
949;93;"TRA_Girador_Ferroviario_P.shp";"SITUACAOFI";"situacaoFisica"
950;93;"TRA_Girador_Ferroviario_P.shp";"NOMEABREV";"nomeAbrev"
644;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"NOME";"nome"
645;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"GEOMETRIAA";"geometriaAproximada"
646;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"OPERACIONA";"operacional"
647;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"SITUACAOFI";"situacaoFisica"
648;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"MATCONSTR";"matConstr"
649;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"NOMEABREV";"nomeAbrev"
650;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"FUNCAOEDIF";"funcaoEdifMetroFerrov"
651;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"MULTIMODAL";"multimodal"
652;72;"TRA_Edif_Metro_Ferroviaria_P.shp";"ADMINISTRA";"administracao"
653;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"NOME";"nome"
654;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"GEOMETRIAA";"geometriaAproximada"
655;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"OPERACIONA";"operacional"
656;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"SITUACAOFI";"situacaoFisica"
657;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"MATCONSTR";"matConstr"
658;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"NOMEABREV";"nomeAbrev"
659;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"FUNCAOEDIF";"funcaoEdifMetroFerrov"
660;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"MULTIMODAL";"multimodal"
661;72;"TRA_Edif_Metro_Ferroviaria_A.shp";"ADMINISTRA";"administracao"
184;36;"TRA_Caminho_Aereo_L.shp";"NOME";"nome"
185;36;"TRA_Caminho_Aereo_L.shp";"GEOMETRIAA";"geometriaAproximada"
186;36;"TRA_Caminho_Aereo_L.shp";"TIPOCAMINH";"tipoCaminhoAereo"
187;36;"TRA_Caminho_Aereo_L.shp";"TIPOUSOCAM";"tipoUsoCaminhoAer"
188;36;"TRA_Caminho_Aereo_L.shp";"OPERACIONA";"operacional"
189;36;"TRA_Caminho_Aereo_L.shp";"SITUACAOFI";"situacaoFisica"
