tra_fundeadouro_p,18
tra_galeria_bueiro_l,27
tra_galeria_bueiro_p,890
tra_identificador_trecho_rodoviario_p,1478
tra_obstaculo_navegacao_p,5
tra_passag_elevada_viaduto_l,238
tra_passag_elevada_viaduto_p,240
tra_passagem_nivel_p,750
tra_patio_a,82
tra_patio_p,1
tra_pista_ponto_pouso_a,50
tra_pista_ponto_pouso_l,61
tra_pista_ponto_pouso_p,118
tra_ponte_l,487
tra_ponte_p,2333
tra_ponto_duto_p,444
tra_ponto_ferroviario_p,396
tra_ponto_rodoviario_p,91819
tra_posto_combustivel_a,13
tra_posto_combustivel_p,4
tra_sinalizacao_p,55
tra_travessia_l,39
tra_travessia_p,65
tra_travessia_pedestre_l,125
tra_travessia_pedestre_p,213
tra_trecho_duto_l,249
tra_trecho_ferroviario_l,1183
tra_trecho_rodoviario_l,111875
tra_trilha_picada_l,23955
tra_tunel_l,114
tra_tunel_p,14
veg_brejo_pantano_a,123
veg_campinarana_a,150
veg_campo_a,1052
veg_cerrado_cerradao_a,877
veg_descontinuidade_geom_l,2
veg_floresta_a,6252
veg_macega_chavascal_a,2336
veg_mangue_a,88
veg_veg_cultivada_a,1505
veg_veg_restinga_a,47
